,Nome,Localização,Data,Tweet,classe
49,Mi10Rita,Slytherpuff🐍🦨// {she/her},2021-01-15 20:53:22,"RT @articdrxco: *em hogwarts*

draco: *abre a geladeira furioso* QUEM FOI Q COMEU A MINHA TORTA?? EU VOU MATAR ESSA PESSOA

blaise: não fui…",amor
50,VictorR47715056,,2021-01-15 20:53:21,Aonde tá o amor da minha vida?,amor
51,RIKIELITO,"SAN LUIS POTOSI, MEXICO",2021-01-15 20:53:21,✌🏼 Rigo es amor ! https://t.co/m1j7oorNhu,amor
52,Alwaysxoned,home w/you ,2021-01-15 20:53:21,@hwwalls94 @loueicopyss AMOR VC LEMBROOOOU,amor
53,Amannda0_,"Carazinho, Brasil",2021-01-15 20:53:21,"@itgisele_ Se ele não dá bola pra ti eu douuu,parabéns meu amor,estou orgulhosa de ti e sempre estive ❤️",amor
54,jaelzinhaxyz,princess park	,2021-01-15 20:53:21,"RT @remzslupin: “não gosto de jogos vorazes"" entendi. 

não gosta do que mais?

amor? educação e saúde? minorias? amazônia? vai fazer oq de…",amor
55,briiellabella,"Jardim América, Rio de Janeiro",2021-01-15 20:53:20,"antes de te encontrar
o mundo não tinha cor
quero te dizer
teu amor mudou minha vida
amo você demais
te peço, por f… https://t.co/JQsN4mjWt2",amor
56,KayraRibas,,2021-01-15 20:53:19,PELO AMOR DAS DEUSAS EU PRECISO DIVIDIR SPOTIFY COM ALGUÉM,amor
57,SGWRMOM,##.AKU  香りのよい髪のエモ!! 🗯︙S0UK0KU% 諏訪博人と菅原孝支は治療法ではない ★##.K𖣠SHI B0T  ‎•᷄ࡇ•᷅ 私の猫は私の人生です MEW_#1OO N3K0 A1‣ fan acc,2021-01-15 20:53:19,"RT @kurokeein: *kuroo desmaia*

akaashi: e agora?

bokuto: PELO AMOR DE DEUS O QUE A GENTE FAZ AGORA?

kenma: fica calmo, vou fazer uma res…",amor
58,icekkj,:(:,2021-01-15 20:53:19,mano--- ru to com 1400 pa e nao consigo jogar amor doce pq falar DUAS MOEDAS PRA COMPRAR A MERDA DA ROUPA Q ODIO,amor
59,caduzito,"Minas Gerais, Brasil",2021-01-15 20:53:19,"@neeiami Obrigado pelo incentivo, amor!!! 
Quem sabe Deus não reservou isso pra mim rsrs",amor
60,houisangelic,,2021-01-15 20:53:19,@CarlosBolsonaro você putinha ta desempregada na pandemia e aí fica com tempo livre pra falar merda na internet...… https://t.co/dRDhWO6WpH,amor
61,fulIberry,he/him,2021-01-15 20:53:18,@LittleMix o meu amor,amor
62,dieguitoszz,,2021-01-15 20:53:18,RT @cool4mysummer: Lovatics pelo amor de deus nao sejam sujos igual outros fandom vamos evitar de descer tao baixo e continuar espalhando o…,amor
63,dedablia,Marília,2021-01-15 20:53:17,É uma relação de amor e ódio,amor
64,raylasword,boiling isles,2021-01-15 20:53:17,cúpido filho da puta enfia o amor no cu e gira ate sair pelo nariz caralho,amor
65,lulinhalivreja,,2021-01-15 20:53:17,@RodrigoMaia @davialcolumbre Pelo amor de Deus impeachment de Bolsonaro!,amor
66,AkemydiChave,Brasil,2021-01-15 20:53:17,"RT @coldfeyli: “não gosto da feyre archeron” entendi. 

não gosta do que mais?

amor? educação e saúde? minorias? amazônia? vai fazer oq de…",amor
67,wyemue_,"Chapecó, Brasil",2021-01-15 20:53:17,"RT @leavesope: me sinto péssima quando involuntariamente demonstro sentimentos como: amor, ciúmes e insegurança. na minha cabeça ninguém pr…",amor
68,Opa_Vitorinha,"Itaboraí, Brasil",2021-01-15 20:53:17,aquele amor gostoso faz de novo comigo,amor
69,yerodanal,,2021-01-15 20:53:16,RT @littlegynt: casais que se um dia se separarem vão fazer eu parar de acreditar no amor https://t.co/MZA7qlX7gr,amor
70,LucaSallesGomes,"Méier, Rio de Janeiro",2021-01-15 20:53:16,"Eu não aguento mais so trabalhar e na minha folga ficar trancado em casa, pelo amor de Deus, quero uma resenha c cerva, é pedir dms?",amor
71,Ketlyn44mermaid,"Rio de janeiro, Ramos ",2021-01-15 20:53:16,"RT @beatrizprtg: e a sensação de estar em casa, um vinho, conversa fiada, sexo bom.....c amor envolvido... uma nova fase da vida, não dá te…",amor
72,ljcutix,"Boston, NY",2021-01-15 20:53:16,"Eu sonhei com Marie, eu sonhei com uma garotinha que me chamava de mãe.
Ela era tão linda, com olhos cor de mel, ca… https://t.co/IVuysY4a9n",amor
73,cherryholIand,,2021-01-15 20:53:16,@blaketini demais amor a maior da década  https://t.co/O9bKLoDQKE,amor
74,highnbr8k3,𝗐𝖺𝗅𝗅𝗿𝗼𝘀𝗲.,2021-01-15 20:53:16,"@solleury Obrigado, amor. 🥺",amor
75,ilyvcut,JJK1,2021-01-15 20:53:16,@Iastgk old amor avisa,amor
76,gomezshield,ela/dela ∞  ˢᵍ ˑ ᵐᵃʳᵛᵉˡ,2021-01-15 20:53:16,"@PortalSelenaBR portal pelo amor de deus me nota, eu criei um site com playlist de stream

STREAM DE UNA VEZ
https://t.co/yAAPPbgpT3",amor
77,94sglossy,📖⥇2/45,2021-01-15 20:53:16,"@spiderogerz sim, comigo foi exatamente assim, mas depois a minha relação com ele mudou para puro amor, só queria proteger meu bebê 🥺🥺",amor
78,ryukscar,"jesse, jenny&dressa",2021-01-15 20:53:15,"RT @anakkth: ⚠️⚠️⚠️⚠️⚠️⚠️PELO AMOR DE DEUS ME AJUDEM A EXPLANAR ESSE NOJENTO, VI NOS STORIES MAS A GENTE PRECISA PARAR ELE. COMPARTILHEM!!!…",amor
79,trixsavari,"Brasília, Brazil",2021-01-15 20:53:15,RT @itsgarciabitchh: amigos de 16+ &gt;&gt;&gt;&gt;&gt;&gt;façam o título de eleitor esse ano&lt;&lt;&lt;&lt;&lt;&lt;&lt; NAO DEIXEM pra fazer em ano de eleição presidencial pelo…,amor
80,gxbgol,077 ,2021-01-15 20:53:15,@itsvoltan pq amor,amor
81,_Night__Dreams_,{ 💌🖇  }      ♡ﾞ  #𝒃𝒊𝒈𝒃𝒂,2021-01-15 20:53:15,Como é que entra em uma dr pelo amor?,amor
82,prremanuel,,2021-01-15 20:53:14,RT @mandarj24: Piscininha amor 🥵🔥 https://t.co/CK58L7QE6o,amor
83,BeatrizVigario,"Gondomar, Portugal",2021-01-15 20:53:14,"RT @_marianaflopes: Vão por amor de deus votar, eu imploro-vos que votem.",amor
84,bolinha26676488,,2021-01-15 20:53:14,RT @MabHorse: imagina postar uma foto com ela com a legenda “te amo meu bem” ou “te amo amor” tchau....,amor
85,lidiiii11,𝟏𝟓𝒚.,2021-01-15 20:53:13,"""o amor é a verdade do momento""",amor
86,leandrorizzutti,São Paulo,2021-01-15 20:53:13,Não devemos desperdiçar os dons que nos foram dados. Devemos aproveitar todas as oportunidades e não nos esquecer q… https://t.co/0SfFAuPClu,amor
87,leekn0www,,2021-01-15 20:53:12,@jeongitos gostou amor 😏,amor
88,LipeCar75457260,,2021-01-15 20:53:12,"RT @Marcela97853859: Minha bucetinha está molhada...😈😍
Você quer ver amor ?? Da RT https://t.co/IXAcuj307K",amor
89,larammira,,2021-01-15 20:53:12,"RT @_marianaflopes: Vão por amor de deus votar, eu imploro-vos que votem.",amor
90,institu16870095,,2021-01-15 20:53:11,"a tag do impeachment está alta 
vamos desmentir toda essa armação de inescrupulosos sem amor ao próximo 
Tentam tir… https://t.co/t1ir3OFmkH",amor
91,FoguinhoCal,"Norta, só mais um segundo ♥️",2021-01-15 20:53:11,@BarrowMares Amor respira,amor
92,BahAN4s_,"São Paulo, Brasil",2021-01-15 20:53:11,"RT @leavesope: me sinto péssima quando involuntariamente demonstro sentimentos como: amor, ciúmes e insegurança. na minha cabeça ninguém pr…",amor
93,Aliice_28,"Realengo, Rio de Janeiro",2021-01-15 20:53:11,"@SiidneySantoss Te amo, amor! 🥰❤",amor
94,dcosta3103,Portugal,2021-01-15 20:53:11,@_beatriztunes_ Amor da minha vida,amor
95,Nathali65343909,,2021-01-15 20:53:11,É muito amor meu povooo https://t.co/qv4DEXOxy2,amor
96,CT2fSJwtorre,#MeuCaldeirão,2021-01-15 20:53:11,RT @VascodaGama: Para os verdadeiros cruzmaltinos! Nova camisa disponível na @shopvascoonline para você carregar no peito a caravela e a cr…,amor
97,orafafr,,2021-01-15 20:53:10,RT @robertsdowjrr: pelo amor de deus #ImpeachmentBolsonaroUrgente,amor
98,nathanzinsj33,sj td2,2021-01-15 20:53:10,hoje era só ficar da melhor forma com meu amor kkkk não tenho ainda mas vou ter,amor
99,VicM_Carvalho,,2021-01-15 20:53:10,meu amor deixa eu cuidar de você,amor
100,LoboTeresinha,"São José dos Campos, São Paulo",2021-01-15 20:53:36,RT @slpng_giants_pt: O @bancopan sabe que investir sua publicidade em um canal no @YouTubeBrasil que incentiva a disseminação de fake news…,ódio
101,gigivibezx,037,2021-01-15 20:53:36,@_gabrielmouraa_ nossa q ódio vsf,ódio
102,netovieiraa09,"Garça, Brasil",2021-01-15 20:53:36,@ilhaemingles ai que odio desse coronaaaaaaaaa,ódio
103,Joym_araujo,Bragança,2021-01-15 20:53:36,"Sei lá, quero cortar o cabelo mas quero deixar crescer. Ô ódio.",ódio
104,lesbospunk,SLYTHERIN ,2021-01-15 20:53:35,RT @pongocomics: ouvindo Slipknot com ódio do mundo como nos meu 14 anos,ódio
105,jjktelepthy,read carrd!,2021-01-15 20:53:34,namjoon e taehyung capaz que devem saber tbm o bichinho meu deeeeeeee que ódio bts faz alguma coisa,ódio
106,luizclaudiosena,Brasil,2021-01-15 20:53:34,Tô arrepiado com essa mobilização pra Manaus mas com o sentimento de ódio porque definitivamente NÃO era pra ser assim!!!!,ódio
107,gfeitosa06,"Gama, Brasília",2021-01-15 20:53:34,@lyzinhae Ódio viu,ódio
108,nevesvictorr,"Vitória, Brasil",2021-01-15 20:53:33,@tthayee aí que capeta gente que ódio,ódio
109,cocovalutz,,2021-01-15 20:53:32,"RT @gcforjimeo: *jungkook desmaia*

yoongi: e agora?

hobi: PELO AMOR DE DEUS O QUE A GENTE FAZ AGORA?

jimin: fica calmo, vou fazer uma re…",ódio
110,cheirozsa,trigêmeos ,2021-01-15 20:53:32,Ai que odio era so *** ****** ********,ódio
111,_vitacs_,"Mairiporã, SP",2021-01-15 20:53:32,"RT @rafagabardo: Quanto esse homem foi eleito eu chorei de tristeza pela homofobia, pelo descaso, pelo discurso de ódio mas juro que jamais…",ódio
112,badgalgix,"Pará, Brazil",2021-01-15 20:53:32,"exato momento em que o Ryan olhou p câmera e ficou lindíssimo, q ÓDIO https://t.co/WSihPSetGD",ódio
113,Iuan_christian_,"São Luís, Brasil",2021-01-15 20:53:31,"let, laysa e allan, qual tá c mais ódio de mim?????",ódio
114,domynaqua,"Campo Grande, Rio de Janeiro",2021-01-15 20:53:31,AKKKKKKKKKKK QUE ÓDIO https://t.co/xlnrw9fmQA,ódio
115,xdamb,"Rio de Janeiro, Brasil",2021-01-15 20:53:30,essas rua tudo alagada dá mó ódio snrz!,ódio
116,raycat_1,rj,2021-01-15 20:53:29,eu vou me mataarr q ódio pq eu fiz isso mano???? muito burra,ódio
117,Lais82753948,"São Paulo, Brasil",2021-01-15 20:53:29,Só queria entender pq elas sentem tanto ódio de mim🤦🏽‍♀️🤷🏽‍♀️.,ódio
118,ttdasofi,"Salvador, Brasil",2021-01-15 20:53:28,RT @hanakhalil: eu to chorando de ódio pensando exatamente nisso aqui,ódio
119,emilysxz,🏳️‍🌈,2021-01-15 20:53:27,"@kkkktom sim, pra que que segue que ódio",ódio
120,valarknowles,katsuミshannaro,2021-01-15 20:53:26,AI Q ÓDIO KKKKKKKKKKKKKKKKKK https://t.co/iuDUuUzSS6,ódio
121,skatmrtell,𝚕𝚘𝚜𝚎𝚛𝚜 𝚌𝚕𝚞𝚋,2021-01-15 20:53:26,@syrewolfhard sim amg q odio,ódio
122,WNDERHOUIS,gabrielle • lara   ,2021-01-15 20:53:25,me desacostumei com o ari que odio,ódio
123,BigNotoryous,,2021-01-15 20:53:24,"q ódio
vendo todo mundo quotar esse menino que falou que a cardi abriu as portas do rap feminino, mas eu tô block e… https://t.co/MLEpQQBlSj",ódio
124,gy_vono,(ela/dela),2021-01-15 20:53:24,"nao aguento mais com o walt fazendo merda, vsf q odio mn
se o jesse morrer eu paro de assistir essa porra",ódio
125,gramich,,2021-01-15 20:53:23,"A essa altura, eu acho que Bolsonaro sente mais ódio de Doria do que de Lula https://t.co/EnVdHv2dlh",ódio
126,rezen7e,,2021-01-15 20:53:23,"Cs dissemina ódio ai p crl, e dps levanta altas bandeira, e dps ainda fala de hipocrisia 🤬",ódio
127,kaminarisbae,"isa, max & yas.",2021-01-15 20:53:23,@kurtaclansx EU FALEI QUE SIM E ELA DEU UM RISINHO VÉI KKKKKKKK QUE ÓDIO,ódio
128,Gabrielsousa_c,"Ceará, Brasil",2021-01-15 20:53:23,RT @slpng_giants_pt: O @bancopan sabe que investir sua publicidade em um canal no @YouTubeBrasil que incentiva a disseminação de fake news…,ódio
129,DudaArroba,"Belo Horizonte, Brasil",2021-01-15 20:53:23,RT @emiefibb: eu cheguei num nível de ódio pelo bolsonaro que não consigo nem mais ver os vídeos dele falando suas merdas pq eu começo a pa…,ódio
130,C0N4NFUCK,I-BUKI MIO-DA !!,2021-01-15 20:53:22,@loserparasempre que odio mari eu tava a cara dele nessa foto,ódio
131,_jubstoledo,MG ,2021-01-15 20:53:21,nossa que ódio,ódio
132,albertooest,031,2021-01-15 20:53:20,ódio.,ódio
133,luizacanesso4,"Pretty Horizon, MG",2021-01-15 20:53:20,"RT @caetanocmendes: Denunciem essa conta, quem puder. Cansado desse discurso de ódio nessa rede:",ódio
134,switchyunggu,,2021-01-15 20:53:19,fui ver video da serie e to chorando de novo que odio,ódio
135,SGWRMOM,##.AKU  香りのよい髪のエモ!! 🗯︙S0UK0KU% 諏訪博人と菅原孝支は治療法ではない ★##.K𖣠SHI B0T  ‎•᷄ࡇ•᷅ 私の猫は私の人生です MEW_#1OO N3K0 A1‣ fan acc,2021-01-15 20:53:19,"RT @kurokeein: *kuroo desmaia*

akaashi: e agora?

bokuto: PELO AMOR DE DEUS O QUE A GENTE FAZ AGORA?

kenma: fica calmo, vou fazer uma res…",ódio
136,icekkj,:(:,2021-01-15 20:53:19,mano--- ru to com 1400 pa e nao consigo jogar amor doce pq falar DUAS MOEDAS PRA COMPRAR A MERDA DA ROUPA Q ODIO,ódio
137,vitorodrgues,roça,2021-01-15 20:53:19,ódio do governo da bahia,ódio
138,joanalife_adry,🐞 • 🍫 • 🎪 • ⚡ • 🥶,2021-01-15 20:53:19,"@astefanibays Sim, q ódio viu",ódio
139,lovcohan,hawkins - enfp.,2021-01-15 20:53:19,@tonksdarling MINHA CASA NAO TEM SILÊNCIO NEM POR 1 SEGUNDO QUE ODIO,ódio
140,vacinaeu,"Uberaba, Brasil",2021-01-15 20:53:19,"É difícil testemunhar tudo o que acontece nesse país e não ser tomada pelo ódio. Quem não tá surtando, deve estar m… https://t.co/i7UzRvtIbR",ódio
141,dieguitoszz,,2021-01-15 20:53:18,RT @cool4mysummer: Lovatics pelo amor de deus nao sejam sujos igual outros fandom vamos evitar de descer tao baixo e continuar espalhando o…,ódio
142,zjmgerman,,2021-01-15 20:53:17,"RT @KS2ksksks: @lumitybby ""amo os LGBT povo animado""

Comunidade lgbt: ódio",ódio
143,_crfcaroline,,2021-01-15 20:53:17,"tudo do meu pai é ""isso é treta"" porra, que ódio",ódio
144,dedablia,Marília,2021-01-15 20:53:17,É uma relação de amor e ódio,ódio
145,oursatoru,﹟💢! 教育は人々に物事を実現させています。jujutsu 𝗞𝗔𝗜𝗦𝗘𝗡 私は一度もあなたを救ったことを後悔したことはありません。 ENTP 8w7 !,2021-01-15 20:53:17,@aspirajeno lhe falta odio,ódio
146,gugakindur,Borda da Terra Plana,2021-01-15 20:53:15,RT @slpng_giants_pt: O @bancopan sabe que investir sua publicidade em um canal no @YouTubeBrasil que incentiva a disseminação de fake news…,ódio
147,trostes,Juiz de Fora - MG,2021-01-15 20:53:14,"RT @rafagabardo: Quanto esse homem foi eleito eu chorei de tristeza pela homofobia, pelo descaso, pelo discurso de ódio mas juro que jamais…",ódio
148,targinooeduarda,021 🌴,2021-01-15 20:53:14,"esqueci a porra do meu carregador no carro, q ódio",ódio
149,netovieiraa09,"Garça, Brasil",2021-01-15 20:53:14,"pensando bem, a performance de monster no AMAS foi a pior da noite, justin e shawn não fizeram nada demais, só fica… https://t.co/kFWH9ajDMh",ódio
150,Re_nunex,"Paranaguá, Brasil",2021-01-15 20:53:13,"e meu celular que bugou, que ódio",ódio
151,caloremilone,a⁴ d² e³ h¹ j² l⁴ m³ n² r²,2021-01-15 20:53:13,@1usk4 KKKKK Q ODIO MEU DEUS,ódio
152,JNG099,!𝟒𝟎%¡ 𝗶𝗻𝘁𝗲𝗿pretative,2021-01-15 20:53:12,QUE ÓDIO DJAKDNSKDJ https://t.co/3fesY97gSA,ódio
153,dear_btsgalaxy,7 - 1 = 0 ~ d/ela,2021-01-15 20:53:12,"RT @brazilhoope: hoje eu tô tão mas tão esgotada e irritada que sei lá, só o jungkook aparecendo pra me curar do ódio",ódio
154,stclaraclareou,purgatório da beleza e do caos,2021-01-15 20:53:12,RT @homosapains: o carioca adora uma presepada né que ódio de ser,ódio
155,lv_angelipb,Lins ,2021-01-15 20:53:12,nossa cheguei em casa só o ódio,ódio
156,pabrinkkkkjj,tou perdido por aí...,2021-01-15 20:53:12,PORRA EU TOU SÓ ESTRAGANDO A ALEGRIA DOS OUTROS PQP QUE ÓDIO NA MORAL,ódio
157,Ehopj1,(ele/dele),2021-01-15 20:53:12,O cra é uma besta enjaulada com ódio,ódio
158,ttdaraai,,2021-01-15 20:53:11,Cheia de ódio,ódio
159,arrioladuda,,2021-01-15 20:53:11,soubesse tinha ido co pai ja sfd q ódio.,ódio
160,_rafa_fer_,CTW,2021-01-15 20:53:11,"EU TENHO ÓDIO de pia que fica se pagando de romantico apaixonado pra uma pa de mina só pra dar golpe, amado vai a merda",ódio
161,pikadilha_devil,"Belo Horizonte, Brasil",2021-01-15 20:53:11,É um pecado a Netflix ter feito so 5 episódios da primeira temp de Lupin pqp q odio,ódio
162,ralid65,"Ceará, Brasil",2021-01-15 20:53:10,RT @slpng_giants_pt: O @bancopan sabe que investir sua publicidade em um canal no @YouTubeBrasil que incentiva a disseminação de fake news…,ódio
163,_anasdarling,Formosa-Go,2021-01-15 20:53:10,RT @giparisan: Não vejo a hora de começar o bbb pra eu poder ocupar minha cabeça com outra coisa além de sentir ódio do Bolsonaro,ódio
164,Rt_castilho,"Vaz Lobo, Rio de Janeiro",2021-01-15 20:53:10,"Minha cara de ódio não muda e ja me entrega logo, pqp 😡😡😡",ódio
165,BarbieCaminhon2,,2021-01-15 20:53:09,Ódio  de quando da coceira  no pé  e tô de tênis,ódio
166,lukeinfurs,"zona leste, sp 🇧🇷",2021-01-15 20:53:09,@br00talKeeper que ódio eu li com a voz dele,ódio
167,xbxjpg,insta: xbx.jpg,2021-01-15 20:53:09,esse é o ódio n1 da minha vida https://t.co/hECEvzIyXt,ódio
168,annehathawayr,"bates motel, dc",2021-01-15 20:53:09,"RT @luahiddleston: eu não concordo com isso de ""o dean não queria o sam casando com a eileen"" porque o sam tava feliz com ela e tudo que o…",ódio
169,ahmarialuiza,bxd - rj,2021-01-15 20:53:09,"RT @ogalista: @radiobandnewsfm Não adianta mostrar mil provas. Quem ainda apoia o Bolsonaro depois de tudo isso, não está nem aí para a vid…",ódio
